date,SS,Amsterdam,Athens,Bangkok,Brussels,BA,Copen,Dublin,Helsinki,Istanbul,KL,London,Madrid,Manila,NY,Oslo,Paris,RIO,San,Sing,Stock,Sydney,Taipei,Viena,Zurich
1/01/1988,37,215.895,100,100,260.231,100,336.63,100,100,100,100,515.741,209.481,100,229.41,392.399,288.54,100,100,473.139,697.32,259.261,100,215.377,140.706
4/01/1988,38,215.579,100.152,101.017,256.439,103.869,335.058,100,97.13,100,99.753,526.968,208.362,100.98,237.599,394.492,285.421,100.1,102.265,477.478,688.349,253.897,100,212.345,138.339
5/01/1988,48,227.709,106.261,106.68,264.611,105.583,342.268,104.43,95.821,102.162,104.648,539.978,217.943,100.555,239.934,415.734,295.413,106.5,107.817,506.542,714.536,257.913,99.869,212.636,144.24
6/01/1988,69,227.618,106.261,112.049,270.191,112.405,345.615,108.144,96.257,101.275,107.377,539.48,217.943,103.801,240.432,429.966,299.087,111.9,110.235,522.404,714.535,260.427,102.664,212.636,146.262
7/01/1988,68,226.738,111.446,114.853,273.393,109.498,346.739,107.541,96.443,101.173,109.147,539.295,221.998,103.216,242.379,430.24,296.081,112.8,110.056,520.069,737.022,258.952,105.333,210.768,145.363
8/01/1988,74,229.013,106.441,118.189,276.303,107.306,350.424,109.695,97.53,100.794,109.043,535.844,226.186,108.131,226.506,440.72,297.142,116.2,111.57,513.048,727.305,256.716,105.778,213.024,147.866
11/01/1988,80,219.295,99.704,110.345,264.313,104.307,346.69,107.983,96.711,101.851,102.153,532.06,216.961,107.662,229.919,417.263,288.841,118.3,110.729,485.021,706.946,247.971,104.02,210.294,140.921
12/01/1988,91,217.135,101.846,111.977,268.125,103.723,348.098,108.546,96.549,104.711,104.844,526.048,217.495,107.212,227.907,414.439,287.141,123,111.384,500.154,712.796,252.053,106.757,208.902,141.513
13/01/1988,109,214.191,100.723,108.986,264.942,104.419,348.623,107.338,95.996,105.361,104.036,524.851,216.496,104.57,228.391,411.603,280.607,123.2,110.643,490.989,707.623,249.451,105.136,206.711,138.265
14/01/1988,108,215.045,99.175,110.665,263.973,103.691,348.489,108.032,95.492,112.94,103.826,527.73,218.821,101.721,228.568,404.157,282.152,123.9,109.311,494.354,708.705,247.442,102.563,207.264,138.752
15/01/1988,99,224.803,100.107,112.814,265.721,102.395,346.668,113.039,94.77,113.019,104.136,540.121,219.184,102.164,234.26,407.947,290.948,129.5,111.279,499.274,717.666,250.501,105.299,206.726,138.913
18/01/1988,87,224.553,102.069,121.872,275.864,102.166,352.888,114.862,97.855,116.798,109.554,541.779,228.246,102.164,234.007,427.583,285.73,132,112.082,522.898,725.688,254.324,111.111,207.65,143.168
19/01/1988,102,217.716,98.649,116.97,274.938,106.15,352.017,113.816,99.76,128.464,109.095,535.432,226.414,106.575,231.605,420.954,281.154,137.1,111.402,519.511,730.183,255.733,111.628,207.091,141.865
20/01/1988,93,218.059,96.763,115.554,278.131,106.503,350.402,112.451,99.976,118.48,111.231,530.983,224.746,106.956,225.344,413.267,272.485,136.7,111.332,522.768,734.597,254.863,114.185,205.541,140.111
21/01/1988,79,217.124,95.691,113.72,277.825,105.626,348.679,111.888,99.486,119.397,108.519,528.876,222.147,105.697,225.86,401.411,267.776,137.5,109.86,517.731,742.865,251.068,114.543,202.847,139.458
22/01/1988,56,219.015,97.126,114.935,278.51,108.64,350.966,113.092,98.701,122.545,108.437,536.189,224.726,104.302,228.934,406.455,265.028,135.4,108.609,511.816,763.147,250.527,115.36,199.746,140.908
25/01/1988,53,219.419,95.251,114.578,278.037,106.708,350.894,114.85,98.865,126.892,108.197,533.476,226.761,102.224,234.205,406.138,264.32,135.4,108.392,516.91,773.382,250.527,120.73,199.91,141.28
26/01/1988,65,220.338,93.765,114.37,282.525,107.54,351.112,114.438,99.035,123.427,107.712,535.333,228.473,102.149,231.72,403.727,266.317,134.7,108.114,512.767,781.801,250.527,121.197,200.064,140.737
27/01/1988,80,219.931,92.408,115.203,280.349,105.976,350.9,113.692,99.337,123.219,106.358,534.055,225.951,101.056,231.223,394.025,263.66,133.9,107.943,507.908,771.094,249.678,119.634,200.193,140.51
28/01/1988,71,220.604,91.594,115.101,281.287,107.159,351.419,114.733,98.886,123.961,106.178,539.432,225.692,100.565,234.777,381.255,261.093,138.7,109.207,510.93,778.698,246.156,122.444,196.936,140.767
29/01/1988,67,224.175,94.283,115.303,285.036,105.88,353.72,116.562,98.954,126.477,107.577,541.586,227.853,100.867,238.495,394.609,258.131,143.8,109.43,513.698,793.938,247.327,120.622,197.212,141.395
1/02/1988,77,228.124,96.277,115.213,283.532,103.273,356.14,117.479,98.794,126.266,107.341,537.042,228.793,98.302,236.713,400.41,262.294,146.7,109.581,505.212,791.742,243.402,121.348,198.754,143.675
2/02/1988,77,224.118,99.614,114.248,286.203,101.726,354.213,116.462,97.923,123.766,105.061,536.655,223.855,98.777,237.124,395.314,268.579,153.2,109.084,499.212,783.128,244.045,124.606,199.419,142.961
3/02/1988,84,225.028,99.411,115.227,288.426,102.424,356.141,115.482,98.101,115.848,104.039,534.488,224.699,100.907,233.988,393.026,275.21,156.1,107.993,502.496,795.92,245.499,125.485,199.828,143.194
4/02/1988,66,225.511,101.079,116.331,297.557,104.249,357.775,115.23,98.115,118.725,103.085,535.022,223.813,101.972,233.774,392.216,279.108,154.2,107.398,494.677,800.159,240.954,126.131,199.587,145.163
5/02/1988,49,225.672,104.922,115.81,304.05,104.935,359.854,112.785,98.581,114.629,99.54,526.344,224.664,100.979,232.546,392.184,282.958,153.5,107.74,488.527,806.552,238.754,129.527,199.583,146.481
8/02/1988,57,222.423,106.617,117.519,308.476,102.165,360.779,108.796,99.237,111.878,97.219,512.786,225.951,96.918,230.937,393.212,281.845,162.4,107.303,481.59,807.966,235.332,132.88,199.741,146.48
9/02/1988,43,224.678,104.407,117.79,304.188,102.556,359.951,109.935,99.19,107.963,96.727,516.221,223.367,98.889,233.253,391.389,281.048,166.5,106.808,477.401,797.796,230.235,130.664,199.138,145.245
10/02/1988,30,224.231,100.855,119.314,307.06,107.234,359.873,109.475,99.583,108.288,97.182,520.459,222.996,99.631,237.609,400.932,284.194,167.7,106.554,480.932,803.404,227.893,134.184,197.494,145.465
11/02/1988,16,226.183,103.757,119.777,309.57,112.859,363.527,109.458,100.185,108.863,99.228,524.086,224.691,99.163,236.937,402.659,292.519,164.6,106.361,484.115,818.102,233.884,136.306,193.04,146.467
12/02/1988,26,230.065,103.388,119.898,313.343,112.181,365.699,110.286,100.336,112.922,98.739,525.501,224.391,99.415,238.311,402.258,293.482,163.9,107.751,484.64,822.856,234.538,139.015,193.934,147.628
15/02/1988,48,230.943,102.401,121.905,317.758,111.886,368.031,110.63,101.659,109.582,101.259,527.56,223.681,99.43,238.317,403.314,295.878,163.9,108.333,489.508,829.931,236.739,139.015,194.631,150.102
16/02/1988,40,232.355,102.634,123.487,324.986,112.756,368.355,111.123,102.381,104.286,102.563,525.78,225.093,98.937,240.429,402.62,296.25,163.9,109.357,492.135,838.612,237.837,139.015,197.437,151.246
17/02/1988,62,234.81,101.809,123.354,330.387,114.646,368.833,111.92,102.165,99.645,102.563,529.924,226.531,98.049,240.066,406.268,300.854,163.9,111.187,492.134,832.639,242.153,139.015,200.839,151.854
18/02/1988,75,234.084,102.567,125.887,332.025,110.601,367.492,112.311,102.501,91.151,102.563,526.368,227.279,98.544,238.834,413.803,305.635,166.1,113.356,492.134,826.447,244.196,139.015,200.872,151.864
19/02/1988,58,233.747,102.923,128.065,328.407,108.71,368.222,111.647,102.509,97.382,102.563,523.813,226.638,97.375,241.983,419.796,310.61,166.5,113.408,496.025,819.809,243.703,139.015,200.542,150.888
